ID,x,y,P,ETo.FAO,ETo.HAM,ETo.HAR,ETo.BLA,ETo.AVG,ETa.HAM,ETa.HAR,ETa.BLA,ETa.AVG,RD.HAM,RS,RS100,LULC_5,random
151916,-90.27083333,18.29583333,1218,1547,1249.641113,1426.313477,1484.949463,1328.07723,1032.922363,1076.930176,1101.653564,1070.502035,-314.6287537,367.7392578,384,20702,1
151975,-89.77916667,18.29583333,1147,1510,1180.756592,1371.295288,1435.005493,1265.506226,1011.183228,1061.987427,1089.134277,1054.101644,-256.7642822,334.7182617,283,20702,1
152106,-88.6875,18.29583333,1352,1514,1177.452026,1294.97522,1434.457764,1263.120605,1037.845337,1062.148193,1151.820557,1083.938029,-207.127182,613.7958374,431,20404,1
152118,-87.8875,18.29583333,1332,1487,1275.334351,1213.188843,1506.114014,1352.260905,1073.907593,1026.998413,1195.617554,1098.841187,-314.1647644,396.3776245,381,21003,1
152173,-91.7625,18.2875,1566,1533,1300.635376,1353.701782,1520.884277,1374.051676,1155.151611,1164.299561,1271.850098,1197.100423,-238.0797882,578.7392578,595,10201,1
152207,-91.47916667,18.2875,1631,1541,1286.856323,1376.098267,1511.091309,1361.601318,1078.201416,1098.339355,1169.119873,1115.220215,-306.151947,740.4493408,754,20404,1
152757,-90.5125,18.27916667,1288,1561,1268.23645,1434.195313,1497.679321,1344.717407,1082.543945,1138.315308,1180.473389,1133.777547,-333.1296692,106.784462,457,20404,1
152777,-90.34583333,18.27916667,1242,1555,1256.994995,1426.968506,1489.781006,1334.590332,1035.303467,1084.011841,1116.800293,1078.7052,-319.8389587,390.7392578,407,20702,1
152886,-89.4375,18.27916667,1123,1496,1169.943481,1355.297974,1427.188232,1255.691732,1002.091675,1053.389038,1087.755249,1047.745321,-245.4525452,364.4105835,254,10101,1
153049,-91.70416667,18.27083333,1588,1533,1296.062622,1360.25415,1517.666138,1369.930461,1148.053101,1161.721558,1261.295776,1190.356812,-241.6261444,604.7485352,627,10201,1
153096,-91.3125,18.27083333,1752,1546,1288.363037,1397.289673,1513.023682,1363.249919,1021.482666,1050.605713,1104.894165,1058.994181,-366.6991882,924.4493408,938,20404,1
153157,-90.80416667,18.27083333,1392,1554,1256.674561,1424.235718,1489.591553,1334.313558,1034.686401,1083.765015,1125.059326,1081.170247,-312.9994507,568.7692261,541,20404,1
153231,-90.1875,18.27083333,1222,1547,1225.533447,1406.567871,1467.745728,1306.270874,1062.90918,1115.098389,1140.460205,1106.155924,-287.680542,168.8480835,372,20404,1
153236,-90.14583333,18.27083333,1214,1530,1224.302124,1405.877075,1466.931152,1305.178467,1019.440674,1059.588745,1082.942261,1053.99056,-288.7461243,440.8888245,363,20702,1
153267,-89.8875,18.27083333,1159,1523,1198.313965,1378.830078,1448.09436,1281.574097,1002.406982,1044.226074,1068.971313,1038.53479,-272.5302124,428.4699402,300,20702,1
153272,-89.84583333,18.27083333,1152,1523,1195.974365,1376.466675,1446.317993,1279.422241,1003.034851,1046.808105,1071.538574,1040.46051,-269.8117371,420.4699402,292,20702,1
153285,-89.7375,18.27083333,1143,1510,1182.68396,1365.269165,1436.552856,1267.306925,1010.505859,1057.892334,1089.145508,1052.514567,-256.0600586,355.8888245,278,20404,1
153900,-91.82083333,18.25416667,1580,1533,1303.907471,1357.060547,1523.244019,1377.019653,1196.593018,1216.254272,1332.067505,1248.304932,-234.9635468,217.9329224,598,20404,1
154030,-90.72916667,18.25416667,1366,1554,1273.911743,1429.241333,1501.25647,1349.693319,1025.461548,1064.781372,1109.869385,1066.704102,-333.5861816,603.8887939,528,20404,1
